period,patient_star_avg,survey_response_rate,timely_care_avg,overall_rating,composite_risk_score
2021-01-27,3.198,25.023,63.601,3.224,
2021-03-31,3.198,25.023,63.601,3.224,
2021-04-28,3.198,25.028,63.527,3.243,0.745
2021-07-21,3.198,25.03,63.726,3.244,0.749
2021-10-27,3.074,23.766,63.823,3.244,0.75
2022-01-06,3.142,24.149,61.381,3.247,0.75
2022-04-06,3.142,24.149,61.381,3.247,0.75
2022-07-06,3.143,23.543,61.592,3.217,0.668
2022-10-06,3.191,22.503,66.03,3.219,0.666
2023-01-06,3.211,22.219,68.671,3.218,0.665
2023-04-06,3.263,22.214,68.396,3.22,0.664
2023-07-06,3.315,22.744,68.695,3.198,0.677
2023-10-06,3.315,22.744,68.645,3.198,0.677
2023-11-06,3.299,23.579,64.854,3.198,0.677
2024-01-31,3.274,23.694,64.541,3.2,0.675
2024-04-24,3.271,23.68,64.629,3.2,0.675
2024-07-31,3.26,23.463,64.586,3.135,0.576
2024-10-30,3.213,23.143,56.684,3.135,0.575
2025-02-19,3.271,22.946,57.136,3.135,0.575
2025-04-30,3.218,22.646,57.214,3.137,0.575
2025-08-14,3.221,22.477,57.104,3.083,0.528
2025-11-26,3.219,22.212,57.787,3.082,0.523
2026-02-25,3.232,22.54,57.997,3.082,0.523
2026-05-13,3.269,22.954,58.077,3.207,0.815
